pays,points,date
Argentine,1877.27,2026-06-11
Espagne,1874.71,2026-06-11
France,1870.70,2026-06-11
Angleterre,1828.02,2026-06-11
Portugal,1767.85,2026-06-11
Brésil,1765.86,2026-06-11
Maroc,1755.10,2026-06-11
Pays-Bas,1753.57,2026-06-11
Belgique,1742.24,2026-06-11
Allemagne,1735.77,2026-06-11
Croatie,1714.87,2026-06-11
Italie,1704.73,2026-06-11
Colombie,1698.35,2026-06-11
Mexique,1687.48,2026-06-11
Sénégal,1684.07,2026-06-11
Uruguay,1673.07,2026-06-11
États-Unis,1671.23,2026-06-11
Japon,1661.58,2026-06-11
Suisse,1650.06,2026-06-11
RI Iran,1619.58,2026-06-11
Danemark,1619.47,2026-06-11
Turquie,1605.73,2026-06-11
Équateur,1598.52,2026-06-11
Autriche,1597.40,2026-06-11
République de Corée,1591.63,2026-06-11
Nigeria,1585.02,2026-06-11
Australie,1579.34,2026-06-11
Algérie,1571.03,2026-06-11
Égypte,1562.37,2026-06-11
Canada,1559.48,2026-06-11
Norvège,1557.44,2026-06-11
Ukraine,1549.29,2026-06-11
Côte d'Ivoire,1540.87,2026-06-11
Panamá,1539.16,2026-06-11
Russie,1529.60,2026-06-11
Pologne,1526.18,2026-06-11
Pays de Galles,1516.95,2026-06-11
Suède,1509.79,2026-06-11
Hongrie,1506.39,2026-06-11
République tchèque,1505.74,2026-06-11
Paraguay,1505.35,2026-06-11
Écosse,1503.34,2026-06-11
Serbie,1502.13,2026-06-11
Cameroun,1481.24,2026-06-11
Tunisie,1476.41,2026-06-11
RD Congo,1474.43,2026-06-11
Slovaquie,1473.66,2026-06-11
Grèce,1473.19,2026-06-11
Venezuela,1469.18,2026-06-11
Ouzbékistan,1458.73,2026-06-11
Chili,1458.20,2026-06-11
Pérou,1457.69,2026-06-11
Costa Rica,1456.03,2026-06-11
Roumanie,1455.89,2026-06-11
Mali,1455.59,2026-06-11
Qatar,1450.31,2026-06-11
Irak,1446.28,2026-06-11
République d’Irlande,1441.10,2026-06-11
Slovénie,1441.09,2026-06-11
Afrique du Sud,1428.38,2026-06-11
Arabie saoudite,1423.88,2026-06-11
Burkina Faso,1406.99,2026-06-11
Jordanie,1387.74,2026-06-11
Bosnie-et-Herzégovine,1387.22,2026-06-11
Honduras,1378.97,2026-06-11
Albanie,1376.03,2026-06-11
Cap-Vert,1371.11,2026-06-11
Émirats arabes unis,1370.47,2026-06-11
Macédoine du Nord,1369.16,2026-06-11
Irlande du Nord,1365.30,2026-06-11
Jamaïque,1357.84,2026-06-11
Géorgie,1355.26,2026-06-11
Ghana,1346.88,2026-06-11
Islande,1342.77,2026-06-11
Finlande,1341.92,2026-06-11
Israël,1333.90,2026-06-11
Bolivie,1326.00,2026-06-11
Kosovo,1319.12,2026-06-11
Oman,1306.90,2026-06-11
Monténégro,1301.98,2026-06-11
Guinée,1295.60,2026-06-11
Curaçao,1294.77,2026-06-11
Haïti,1293.10,2026-06-11
Syrie,1283.05,2026-06-11
Nouvelle-Zélande,1275.58,2026-06-11
Gabon,1272.51,2026-06-11
Bulgarie,1271.68,2026-06-11
Angola,1265.58,2026-06-11
Ouganda,1264.09,2026-06-11
Zambie,1255.82,2026-06-11
RP Chine,1254.81,2026-06-11
Bahreïn,1254.41,2026-06-11
Bénin,1252.17,2026-06-11
Thaïlande,1250.80,2026-06-11
Palestine,1243.71,2026-06-11
Belarus,1242.88,2026-06-11
Guatemala,1238.74,2026-06-11
Luxembourg,1232.82,2026-06-11
Vietnam,1225.68,2026-06-11
Salvador,1225.34,2026-06-11
Tadjikistan,1224.19,2026-06-11
Trinité-et-Tobago,1219.59,2026-06-11
Mozambique,1218.62,2026-06-11
Madagascar,1202.69,2026-06-11
Guinée équatoriale,1195.20,2026-06-11
République kirghize,1192.16,2026-06-11
Arménie,1189.63,2026-06-11
Comores,1187.91,2026-06-11
Kenya,1185.08,2026-06-11
Libye,1182.08,2026-06-11
Kazakhstan,1180.78,2026-06-11
Tanzanie,1180.27,2026-06-11
Mauritanie,1176.68,2026-06-11
Niger,1175.33,2026-06-11
Liban,1172.22,2026-06-11
Gambie,1159.64,2026-06-11
Soudan,1157.22,2026-06-11
Indonésie,1157.14,2026-06-11
Togo,1152.76,2026-06-11
RDP Corée,1151.05,2026-06-11
Namibie,1148.84,2026-06-11
Sierra Leone,1147.56,2026-06-11
Îles Féroé,1136.59,2026-06-11
Chypre,1133.25,2026-06-11
Suriname,1132.43,2026-06-11
Azerbaïdjan,1132.00,2026-06-11
Estonie,1130.64,2026-06-11
Rwanda,1126.62,2026-06-11
Malawi,1122.05,2026-06-11
Zimbabwe,1119.78,2026-06-11
Nicaragua,1114.63,2026-06-11
Guinée-Bissau,1108.38,2026-06-11
Koweït,1106.47,2026-06-11
Congo,1105.96,2026-06-11
Philippines,1100.95,2026-06-11
Malaisie,1086.22,2026-06-11
Lettonie,1085.66,2026-06-11
Inde,1084.93,2026-06-11
République centrafricaine,1080.82,2026-06-11
Liberia,1080.44,2026-06-11
Turkménistan,1078.65,2026-06-11
Burundi,1078.01,2026-06-11
Éthiopie,1077.52,2026-06-11
République dominicaine,1076.50,2026-06-11
Yémen,1065.24,2026-06-11
Lesotho,1064.29,2026-06-11
Botswana,1063.63,2026-06-11
Singapour,1057.95,2026-06-11
Lituanie,1056.85,2026-06-11
Guyana,1049.32,2026-06-11
Nouvelle-Calédonie,1036.95,2026-06-11
Saint-Kitts-et-Nevis,1036.33,2026-06-11
Îles Salomon,1031.89,2026-06-11
Porto Rico,1024.30,2026-06-11
Fidji,1024.17,2026-06-11
"Hong Kong, Chine",1024.16,2026-06-11
Tahiti,1019.04,2026-06-11
Myanmar,1010.91,2026-06-11
Moldavie,1008.24,2026-06-11
Vanuatu,1002.53,2026-06-11
Malte,992.79,2026-06-11
Antigua-et-Barbuda,986.58,2026-06-11
Grenade,981.82,2026-06-11
Cuba,981.42,2026-06-11
Eswatini,979.01,2026-06-11
Sainte-Lucie,976.71,2026-06-11
Bermudes,975.05,2026-06-11
Papouasie-Nouvelle-Guinée,974.90,2026-06-11
Soudan du Sud,970.94,2026-06-11
Saint-Vincent-et-les-Grenadines,968.27,2026-06-11
Afghanistan,968.07,2026-06-11
Andorre,946.43,2026-06-11
Maldives,943.92,2026-06-11
Chinese Taipei,923.78,2026-06-11
Cambodge,922.32,2026-06-11
Montserrat,916.75,2026-06-11
Népal,914.54,2026-06-11
Maurice,911.49,2026-06-11
Barbade,909.89,2026-06-11
Belize,907.00,2026-06-11
Bangladesh,902.93,2026-06-11
Dominique,897.69,2026-06-11
Tchad,896.85,2026-06-11
Érythrée,887.06,2026-06-11
Laos,885.03,2026-06-11
Îles Cook,877.53,2026-06-11
Sri Lanka,876.86,2026-06-11
Samoa,876.41,2026-06-11
Aruba,875.61,2026-06-11
Mongolie,874.47,2026-06-11
Samoa américaines,871.61,2026-06-11
Bhoutan,870.81,2026-06-11
Macao,858.03,2026-06-11
Brunei,857.73,2026-06-11
São Tomé-et-Príncipe,855.44,2026-06-11
Djibouti,853.58,2026-06-11
Îles Caïmans,850.06,2026-06-11
Pakistan,840.28,2026-06-11
Somalie,839.17,2026-06-11
Tonga,835.64,2026-06-11
Timor oriental,831.00,2026-06-11
Gibraltar,820.26,2026-06-11
Guam,819.54,2026-06-11
Seychelles,804.16,2026-06-11
Turks-et-Caicos,803.98,2026-06-11
Liechtenstein,797.70,2026-06-11
Bahamas,786.82,2026-06-11
Îles Vierges américaines,779.76,2026-06-11
Îles Vierges britanniques,777.41,2026-06-11
Anguilla,760.25,2026-06-11
Saint-Marin,721.20,2026-06-11
